prop;lb;ub;p-value;Item;Succesful Replication
0,241357946805399;0,211270975391158;0,274239813617328;0,00000000000000000000000000000000000000653900685769897;1;Yes
0,614819743864755;0,586542727375565;0,642342095929879;0,0000000000000077307403097683;2;Yes
0,123918333639227;0,106134900243172;0,144200776331423;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023771831908705;3;Yes
0,509695162085601;0,478993833685637;0,540323529717318;0,536087577299124;4;No
0,102886340340431;0,0829223896293114;0,126991142985807;0,0000000000000000000000000000000000000000000000000000000000000000000000269142406596942;5;Yes
0,65334923242627;0,634577846026691;0,671655284495971;0,000000000000000000000000000000000000000000000000000560479067549672;6;Yes
0,796321694519706;0,775773541417029;0,815434806578851;0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000648289378824764;7;Yes
0,503176606501423;0,478004040222876;0,528333079366107;0,804755367793575;8;NA
0,795457597315649;0,77400832591403;0,815356727023388;0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186098879400904;9;Yes
0,429330717264531;0,401231511728711;0,457892910891729;0,00000144579097489433;10;Yes
0,157579506654978;0,136925816416206;0,180696323756967;0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000157815460494031;11;Yes
0,249548175610025;0,224203108376;0,276736349488294;0,0000000000000000000000000000000000000000000000000000224840898306313;12;Yes
0,615762355009855;0,584858679998333;0,645758907854349;0,000000000000730081693660042;13;Yes
0,176554276468882;0,155711784691477;0,199527289045811;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000256625010296295;14;Yes
0,615366510395541;0,592850150481886;0,637399259858047;0,000000000000000000000135930859938062;15;Yes
0,576024220038888;0,536763496668062;0,614348182247109;0,000160523789117279;16;Yes
0,430739455145579;0,400684525323481;0,461313494129786;0,000010092550927558;17;Yes